PADDED_BADGE_NUMBER	OFFICER_DISPLAY_NAME	WG1	WG2	WG3	WG4	WG5	TICKET_NUMBER	ISSUE_DATE	VIOLATION_NUMBER	VIOLATION_TYPE	TYPE	STATUS	TOTAL_PAID_AMOUNT	FINE_AMOUNT	COST_AMOUNT	MISC_AMOUNT	OFFICER_NAME_RAW	ASSIGNMENT_FOUND	PROCESSED_TIMESTAMP	DATA_SOURCE	ETL_VERSION
0000	null	null	null	null	null	null	"TICKET
NUMBER"	null	"VIOLATION
NUMBER"	Unknown	"
TYPE"	"
STATUS"	0	0	0	0	"OFFICER
NAME"	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
0083	null	null	null	null	null	null	E25016456	6/3/2025 12:00:00 AM	170-7	Parking	P	DISP	51.5	29	21	1.5	P.O. A MATTALIAN	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
0083	null	null	null	null	null	null	E25017516	6/12/2025 12:00:00 AM	170-7	Parking	P	DISP	50	29	21	0	P.O. A MATTALIAN	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
0083	null	null	null	null	null	null	E25017517	6/12/2025 12:00:00 AM	170-6A	Parking	P	ACTI	0	0	0	0	P.O. A MATTALIAN	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
0083	null	null	null	null	null	null	E25017518	6/12/2025 12:00:00 AM	170-12	Parking	P	ACTI	0	0	0	0	P.O. A MATTALIAN	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
0083	null	null	null	null	null	null	E25017519	6/12/2025 12:00:00 AM	170-11	Parking	P	DISP	61.8	36	24	1.8	P.O. A MATTALIAN	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
0083	null	null	null	null	null	null	E25017520	6/12/2025 12:00:00 AM	39:4-138H	Parking	P	ACTI	0	0	0	0	P.O. A MATTALIAN	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
0083	null	null	null	null	null	null	E25017523	6/12/2025 12:00:00 AM	170-7	Parking	P	DISP	50	29	21	0	P.O. A MATTALIAN	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
0083	null	null	null	null	null	null	E25017524	6/12/2025 12:00:00 AM	170-7	Parking	P	DISP	50	29	21	0	P.O. A MATTALIAN	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
0083	null	null	null	null	null	null	E25018464	6/19/2025 12:00:00 AM	170-8	Parking	P	ACTI	0	0	0	0	P.O. A MATTALIAN	FALSE	7/9/2025 11:52:33 AM	25_06_ATS.xlsx	v10.0_UPDATED_ASSIGNMENTS
